"mid","oid","q1","q2","q3","q4","q5","uniqueid","q6"
"117","126","1","2","2","3","3","59107","0"
"117","127","1","2","2","3","3","59108","0"
"117","128","1","2","2","3","3","59109","0"
"117","129","1","2","2","3","3","59110","0"
"117","130","1","2","2","3","3","59111","0"
"117","131","1","2","2","3","3","59112","0"
"117","132","1","2","2","3","3","59113","0"
"117","133","1","2","2","3","3","59114","0"
"117","134","1","2","2","3","3","59115","0"
"117","135","1","2","2","3","3","59116","0"
"117","136","1","2","2","3","3","59117","0"
"117","137","1","2","2","3","3","59118","0"
"117","138","1","2","2","3","3","59119","0"
"117","139","1","2","2","3","3","59120","0"
"117","140","1","2","2","3","3","59121","0"
"117","141","1","2","2","3","3","59122","0"
"117","142","1","2","2","3","3","59123","0"
"117","143","1","2","2","3","3","59124","0"
"117","144","1","2","2","3","3","59125","0"
"117","145","1","2","2","3","3","59126","0"
"117","146","1","2","2","3","3","59127","0"
"117","147","1","2","2","3","3","59128","0"
"117","148","1","2","2","3","3","59129","0"
"117","149","1","2","2","3","3","59130","0"
"117","150","1","2","2","3","3","59131","0"
"117","151","1","2","2","3","3","59132","0"
"117","152","1","2","2","3","3","59133","0"
"117","153","1","2","2","3","3","59134","0"
"117","154","1","2","2","3","3","59135","0"
"117","155","1","2","2","3","3","59136","0"
"117","156","1","2","2","3","3","59137","0"
"117","157","1","2","2","3","3","59138","0"
"117","158","1","2","2","3","3","59139","0"
"117","159","1","2","2","3","3","59140","0"
"117","159","1","2","2","3","3","59141","0"
"117","160","1","2","2","3","3","59142","0"
"117","161","1","2","2","3","3","59143","0"
"117","162","1","2","2","3","3","59144","0"
"117","163","1","2","2","3","3","59145","0"
"117","164","1","2","2","3","3","59146","0"
"117","165","1","2","2","3","3","59147","0"
"117","166","1","2","2","3","3","59148","0"
"117","167","1","2","2","3","3","59149","0"
"117","168","1","2","2","3","3","59150","0"
"117","169","1","2","2","3","3","59151","0"
"117","170","1","2","2","3","3","59152","0"
"117","171","1","2","2","3","3","59153","0"
"117","172","1","2","2","3","3","59154","0"
"117","173","1","2","2","3","3","59155","0"
"117","174","1","2","2","3","3","59156","0"
"117","175","1","2","2","3","3","59157","0"
"117","176","1","2","2","3","3","59158","0"
"114","0","2","2","2","3","3","59159","0"
"114","1","1","2","2","3","3","59160","0"
"114","2","1","2","2","3","3","59161","0"
"114","3","1","2","2","3","3","59162","0"
"114","4","1","2","2","3","3","59163","0"
"114","5","1","2","2","3","3","59164","0"
"114","5","2","2","2","3","3","59165","0"
"114","6","1","2","2","3","3","59166","0"
"114","7","1","2","2","3","3","59167","0"
"114","8","1","2","2","3","3","59168","0"
"114","9","1","2","2","3","3","59169","0"
"114","10","1","2","2","3","3","59170","0"
"114","11","1","2","2","3","3","59171","0"
"114","12","1","2","2","3","3","59172","0"
"114","13","1","2","2","3","3","59173","0"
"114","14","1","2","2","3","3","59174","0"
"114","15","1","2","2","3","3","59175","0"
"114","16","1","2","2","3","3","59176","0"
"114","17","1","2","2","3","3","59177","0"
"114","18","1","2","2","3","3","59178","0"
"114","19","1","2","2","3","3","59179","0"
"114","20","1","2","2","3","3","59180","0"
"114","21","1","2","2","3","3","59181","0"
"114","22","1","2","2","3","3","59182","0"
"114","23","1","2","2","3","3","59183","0"
